,start_actor,end_actor,distance
0,jackie_chan,bradley_cooper,2
1,jackie_chan,scarlett_johansson,2
2,dwayne_johnson,adam_sandler,2
3,scarlett_johansson,sofia_vergara,1
4,akshay_kumar,bradley_cooper,2
5,akshay_kumar,sofia_vergara,2
6,dwayne_johnson,akshay_kumar,2
7,dwayne_johnson,chris_hemsworth,2
8,chris_hemsworth,akshay_kumar,2
9,dwayne_johnson,bradley_cooper,2
10,chris_hemsworth,bradley_cooper,2
11,chris_hemsworth,jackie_chan,2
12,akshay_kumar,chris_evans,2
13,dwayne_johnson,scarlett_johansson,2
14,adam_sandler,chris_evans,2
15,bradley_cooper,scarlett_johansson,1
16,dwayne_johnson,chris_evans,2
17,sofia_vergara,chris_evans,2
18,jackie_chan,sofia_vergara,2
19,dwayne_johnson,sofia_vergara,2
20,scarlett_johansson,chris_evans,1
21,dwayne_johnson,jackie_chan,2
22,adam_sandler,scarlett_johansson,2
23,akshay_kumar,scarlett_johansson,2
24,chris_hemsworth,adam_sandler,2
25,jackie_chan,chris_evans,2
26,bradley_cooper,sofia_vergara,2
27,chris_hemsworth,sofia_vergara,2
28,bradley_cooper,adam_sandler,2
29,adam_sandler,sofia_vergara,2
30,jackie_chan,adam_sandler,2
31,akshay_kumar,adam_sandler,2
32,akshay_kumar,jackie_chan,2
33,chris_hemsworth,chris_evans,1
34,chris_hemsworth,scarlett_johansson,1
35,bradley_cooper,chris_evans,2
